model,evaluation,HR@5,HR@10,HR@20,NDCG@5,NDCG@10,NDCG@20
MF,validation,0.5640728476821192,0.7334437086092715,0.8736754966887417,0.39131915241210136,0.4461978492531698,0.48182483458030384
MF,test,0.5223583968201391,0.696588274263001,0.8451473998012587,0.35851420199443296,0.4148776418280729,0.45246116048488416
