epoch,train_loss,val_loss,val_hr10,val_ndcg10
1,0.21988063984093642,0.12346206885167055,0.7140728476821192,0.4288054143662381
2,0.21865739022779354,0.12179811679529805,0.7142384105960264,0.42908876848673805
3,0.2180775582943107,0.1214507970075929,0.7137417218543046,0.4289760540053788
4,0.2178246207594072,0.12204269053943664,0.7120860927152318,0.42873722914354223
5,0.21775074760278326,0.12185193822056525,0.7130794701986755,0.4290741847535835
6,0.21754773240487008,0.12086836318437502,0.7115894039735099,0.4285397931596679
7,0.21710033271200502,0.12058143264273723,0.7114238410596027,0.4286169370889411
8,0.2171933572792494,0.1206040377679727,0.7125827814569536,0.42880846307965603
9,0.2168419436668124,0.11927271468787028,0.7114238410596027,0.42883146897114
10,0.216691772111253,0.12022263286111941,0.7114238410596027,0.4289585448012456
11,0.2166264938410341,0.12055497311696124,0.7115894039735099,0.4290316530268222
12,0.21652064440808796,0.1211940201018554,0.7124172185430464,0.4287953070143441
