epoch,train_loss,val_loss,val_hr10,val_ndcg10
1,0.3699880268149419,0.19661633784958873,0.4913907284768212,0.26800138871276874
2,0.3161479370274227,0.16761861456651295,0.5783112582781457,0.31807260214894717
3,0.28679610604167505,0.15695209946075694,0.6324503311258278,0.3533073124955758
4,0.2690911455315,0.14662953111728474,0.6720198675496689,0.3839480805924444
5,0.25826143001401475,0.14111152380816264,0.6827814569536423,0.3970401310608011
6,0.2532839000925813,0.13887435394414924,0.6943708609271523,0.4073065242762901
7,0.25011298428675727,0.13687464470480648,0.6943708609271523,0.40859663965730136
8,0.24872105551305934,0.13652669142859153,0.7021523178807947,0.4154480557345821
9,0.24764642030500655,0.13663863492044462,0.7016556291390729,0.4163194326927648
10,0.24695265238792283,0.1355000939811068,0.698841059602649,0.4127541783828311
11,0.24657535511022444,0.13421795869427003,0.704635761589404,0.41775903895842403
12,0.2462915967983223,0.13491624127754687,0.7064569536423841,0.41814167990533174
13,0.2458748624183887,0.13478955943485485,0.6998344370860927,0.41746391001320776
14,0.24579582448644732,0.13404653185696283,0.7038079470198676,0.41653942141888456
15,0.24571094969088297,0.13402905839657003,0.7026490066225165,0.4189080335882803
16,0.24542374686327406,0.13563674072810183,0.7066225165562914,0.4186481958944462
17,0.2454009681273746,0.1355744110323251,0.7036423841059603,0.4191178453797224
18,0.24529510388358244,0.13469314319410447,0.7074503311258278,0.41787644739428836
19,0.24541222375642052,0.13316681863116356,0.7089403973509933,0.42083761508135764
20,0.2449507370109548,0.13447742872758425,0.6991721854304636,0.41601018621107
21,0.2448750831642517,0.135138878191106,0.7038079470198676,0.4173527059105452
22,0.2448955930618061,0.1333275502427321,0.7072847682119205,0.4187826239433401
23,0.24493585285327088,0.13544048735485117,0.7056291390728476,0.41778024667884306
24,0.24477130889188756,0.13305898736706798,0.7072847682119205,0.42031943833878815
25,0.24496965190232645,0.13410970140528222,0.7071192052980132,0.4200561502721547
26,0.24473307883396223,0.1340379612462324,0.7026490066225165,0.41714597836806283
27,0.24479555506885012,0.13483782535998143,0.7052980132450332,0.4198389722882079
28,0.24484596363345257,0.13438245529745785,0.7013245033112583,0.4181137711795895
29,0.2446471660565036,0.1334800752999157,0.7051324503311258,0.4206713312214833
