epoch,train_loss,val_loss,val_hr10,val_ndcg10
1,0.34600080611592426,0.1775515514251467,0.5245033112582781,0.2877656804009033
2,0.3060945636221917,0.16718863921316793,0.5899006622516556,0.3282111497939216
3,0.28927598976587926,0.15252421543888323,0.6203642384105961,0.3490152743689813
4,0.27696561401853836,0.1618588449007081,0.6415562913907285,0.367072957931018
5,0.2686346431246575,0.1424726855297783,0.659271523178808,0.3783602337318291
6,0.2631387951285011,0.1466472724849424,0.6685430463576159,0.3859046897502482
7,0.2588969991350261,0.14030919560777752,0.6687086092715232,0.390145151189663
8,0.25577852800030565,0.13643967804361753,0.6763245033112583,0.3956705456447858
9,0.25287445866515074,0.1476893925303733,0.6804635761589404,0.40070435023405737
10,0.25052419602709586,0.1293453311038466,0.680794701986755,0.40127783287276664
11,0.24862462125426557,0.13796390933518676,0.6779801324503312,0.39580800412620604
12,0.2469264143296629,0.13161467599732768,0.6809602649006623,0.4002824418807093
13,0.24525014690059235,0.13622647590730536,0.6880794701986755,0.4057472142140341
14,0.2441552509117411,0.13208381598245572,0.6857615894039735,0.40283583534934686
15,0.2428685347150887,0.14105025787278008,0.6874172185430464,0.4047490567378947
16,0.2417002725717935,0.135736742785513,0.6905629139072847,0.4066745550751903
17,0.24086529566342169,0.1277298395459468,0.6894039735099338,0.4063878811677924
18,0.24003007698838774,0.13053657835909174,0.687748344370861,0.40587019930171425
19,0.2395042867266925,0.13323937448462334,0.6935430463576159,0.4071856847040128
20,0.23846008027725493,0.12890034999196923,0.6887417218543046,0.4079857056069951
21,0.23795035976915205,0.1385120727828734,0.6966887417218544,0.4076234102580078
22,0.2373135920108671,0.13047281807484795,0.6958609271523178,0.407817702321819
23,0.23696106565497912,0.13298850146448188,0.6935430463576159,0.40754468538000627
24,0.236285060704938,0.12822815000338678,0.6920529801324503,0.4065943258344753
25,0.23613222103867132,0.13305346384663072,0.6948675496688742,0.4073510428408409
26,0.23549187497237237,0.125010256816595,0.695364238410596,0.4107463094345642
27,0.2351756827546668,0.13339739089514044,0.6874172185430464,0.4068495911180566
28,0.23493166377947203,0.12453595463267843,0.696523178807947,0.41002381054824116
29,0.23449482510252884,0.1363795408238568,0.6932119205298013,0.4117073457726319
30,0.2341318069270778,0.12726242629010343,0.6950331125827814,0.4091786192259219
31,0.23367270104556262,0.1316783659196777,0.6948675496688742,0.4091239955295731
32,0.2336345210677321,0.14114761961912625,0.6975165562913908,0.4121154002121322
33,0.23350778250670634,0.13066497021804488,0.6968543046357616,0.41082075536785895
34,0.2331613382079352,0.13072608646744782,0.6927152317880795,0.4123394639706664
35,0.23289739773875226,0.12991961359813575,0.6922185430463577,0.4078626856815199
36,0.23263219897674334,0.12528303714873212,0.6961920529801324,0.41164428148029625
37,0.23233720382519035,0.13469351509107338,0.6966887417218544,0.40992006549595766
38,0.23239163418130598,0.13104313191867456,0.6932119205298013,0.41059472107740574
39,0.23217314377221754,0.11709338137438458,0.6947019867549669,0.40963376360522014
40,0.23183872901671085,0.13293818518432443,0.6945364238410596,0.40656401326338293
