epoch,train_loss,val_loss,val_hr10,val_ndcg10
1,0.3656370587052734,0.18780468287495158,0.5099337748344371,0.2785821709233462
2,0.30476119243746597,0.16460566252780723,0.6016556291390729,0.333164161033321
3,0.27836237861215823,0.15345051978839888,0.643046357615894,0.36579389000782403
4,0.26526326850839477,0.14622827437590571,0.6662251655629139,0.3843861232127122
5,0.25692703298265224,0.1425880380668067,0.6829470198675497,0.3997751758315599
6,0.2505095146732674,0.13891702253234933,0.7001655629139073,0.41259233094437653
7,0.2450496024647552,0.13709213219719335,0.7026490066225165,0.41939415290890064
8,0.2409591242815677,0.1351007365164667,0.7135761589403974,0.4263992809075586
9,0.23726391850340667,0.13376939199651378,0.7205298013245033,0.432355060080551
10,0.23426518902594584,0.13144708045032655,0.7233443708609272,0.43327393480543114
11,0.23205505737229976,0.12961291907345784,0.7274834437086093,0.4369022287694414
12,0.2303274425141671,0.13038378559484318,0.7286423841059603,0.43821566174770227
13,0.22889709820309545,0.12853793876928218,0.7302980132450331,0.43864097092148296
14,0.22793431257328856,0.12786725393733575,0.7312913907284768,0.4399338838153843
15,0.227193311525055,0.12805676471736813,0.7268211920529801,0.4389635705485797
16,0.2264529437917998,0.1278331382784771,0.7294701986754967,0.4408215746219469
17,0.2259794255682617,0.1282778914584761,0.7306291390728477,0.4412523836545173
18,0.22567354683587626,0.12635018525436412,0.7350993377483444,0.4414270621539902
19,0.22553649319346844,0.12624236762867577,0.730794701986755,0.4414630340203527
20,0.22505817160694871,0.1270638394921297,0.731953642384106,0.4416815907118761
21,0.2247677221611888,0.12493681039261306,0.7326158940397351,0.44092375316106686
22,0.2246034467277605,0.12678370526224486,0.7334437086092715,0.44245427112342545
23,0.22454231545473577,0.12608363113251445,0.7324503311258278,0.443296096365797
24,0.2243276378212308,0.12666067327740044,0.7327814569536424,0.44297368857920605
25,0.2244344667662249,0.12390720158606293,0.733112582781457,0.44189983953212025
26,0.22408160504268393,0.1261082027354918,0.7311258278145696,0.4427023429506625
27,0.22403273469267285,0.12552240267166365,0.7355960264900663,0.4440218395740955
28,0.22406168053495837,0.12669392071992136,0.7314569536423841,0.4428094210493091
29,0.2239000130130566,0.12611334508537864,0.7322847682119206,0.4433618806883698
30,0.22376281880898835,0.12646070869232692,0.7321192052980132,0.44377633062432725
31,0.22367192497332777,0.12647394904753598,0.7334437086092715,0.44453967614402007
32,0.2238004040791501,0.12502006798030962,0.7324503311258278,0.4443126224374529
33,0.2237890309073251,0.12771320220933774,0.7334437086092715,0.4461978492531698
34,0.22372352963751746,0.12479237742718614,0.734271523178808,0.4434024260604639
35,0.2236737087235219,0.12470230875564524,0.7317880794701986,0.4431603885482392
36,0.22356179917450866,0.12606237815511898,0.7385761589403973,0.4455391298160743
37,0.22342052252898187,0.12726334072241555,0.7344370860927152,0.4452195015925394
38,0.22357610235710995,0.12656212285503968,0.731953642384106,0.4430269968673087
39,0.22356630177076578,0.1249310779208848,0.7339403973509934,0.44434461216503424
40,0.22337039337804235,0.12542261861264217,0.7316225165562914,0.4444719119215151
