model,evaluation,HR@5,HR@10,HR@20,NDCG@5,NDCG@10,NDCG@20
MF,test,0.5223583968201391,0.696588274263001,0.8451473998012587,0.35851420199443296,0.4148776418280729,0.45246116048488416
NCF,test,0.5079496522027162,0.6785359390526664,0.8327260682345148,0.3455050303891168,0.400973208000084,0.4401092848808735
